ContestantID,ContestantName,Score_Task_1,Score_Task_2,Score_Task_3,Score_Task_4,Score_Task_5,Score_Task_6,Score_Task_7,Score_Task_8,Score_Task_9,Score_Task_10,Score_Task_11,Score_Task_12,Score_Task_13,Score_Task_14,Score_Task_15,Score_Task_16,Score_Task_17,Score_Task_18,Score_Task_19,Score_Task_20,Score_Task_21,Score_Task_22,Score_Task_23,Score_Task_24,Score_Task_25,Score_Task_26,Score_Task_27,Score_Task_28,Score_Task_29,Score_Task_30,Score_Task_31,Score_Task_32,Score_Task_33,Score_Task_34,Score_Task_35,Score_Task_36,Score_Task_37,Score_Task_38,Score_Task_39,Score_Task_40,Score_Task_41,Score_Task_42,Score_Task_43,Score_Task_44,Score_Task_45,Score_Task_46,Score_Task_47,Score_Task_48,Score_Task_49,Score_Task_50,Score_Task_51,Score_Task_52
16,Hugh Dennis,1,1,2,5,4,1,5,0,5,2,4,1,4,3,3,4,0,0.0,1,2,1,3,5,5,1,4,3,5,3,5,0.0,2,4,5,0.0,0.0,0.0,0,2,5,4,3,2,3,3,0.0,1,1,5,4,2,0
17,Joe Lycett,2,5,4,3,3,2,2,4,0,3,2,3,4,2,5,0,5,0.0,4,3,2,4,3,3,4,2,5,0,2,5,0.0,3,2,3,0.0,0.0,0.0,5,1,2,3,3,3,5,4,0.0,4,4,2,3,3,0
18,Lolly Adefope,3,2,3,4,1,4,4,2,0,5,3,4,2,2,4,0,0,0.0,5,1,3,2,1,3,5,1,5,0,1,3,0.0,5,3,3,0.0,0.0,0.0,5,3,3,1,5,3,3,5,0.0,5,3,3,1,1,0
19,Mel Giedroyc,4,3,3,1,5,3,3,3,5,1,5,2,1,3,1,-4,0,0.0,3,4,5,2,5,5,2,5,2,5,5,2,0.0,1,5,4,0.0,0.0,0.0,2,4,1,2,4,2,3,1,0.0,2,2,5,2,5,5
20,Noel Fielding,5,4,5,2,2,5,1,5,0,4,3,5,5,2,4,3,0,0.0,2,5,5,5,3,3,3,3,1,0,4,1,0.0,3,1,1,0.0,0.0,0.0,5,5,4,5,1,3,4,2,0.0,3,5,2,5,4,1
