ContestantID,ContestantName,Score_Task_1,Score_Task_2,Score_Task_3,Score_Task_4,Score_Task_5,Score_Task_6,Score_Task_7,Score_Task_8,Score_Task_9,Score_Task_10,Score_Task_11,Score_Task_12,Score_Task_13,Score_Task_14,Score_Task_15,Score_Task_16,Score_Task_17,Score_Task_18,Score_Task_19,Score_Task_20,Score_Task_21,Score_Task_22,Score_Task_23,Score_Task_24,Score_Task_25,Score_Task_26,Score_Task_27,Score_Task_28
11,Al Murray,4,4,5,3,5,3,4,0,5,1,5,2,0,1,3,2,1,1,5,5,3,2,0.0,4,5,5,2,0
12,Dave Gorman,3,2,0,5,3,5,3,0,3,3,3,1,3,4,5,5,3,3,3,4,3,4,0.0,5,0,5,3,0
13,Paul Chowdhry,1,0,2,1,4,2,1,0,2,4,4,4,5,5,2,4,2,5,1,1,3,1,0.0,1,3,5,3,0
14,Rob Beckett,2,5,4,2,2,4,5,5,2,5,0,5,2,3,4,1,4,2,4,2,2,5,0.0,3,4,0,5,5
15,Sara Pascoe,5,3,3,4,1,1,2,5,4,2,2,3,4,1,1,3,5,4,2,3,2,3,0.0,1,3,0,5,0
