ContestantID,ContestantName,Score_Task_1,Score_Task_2,Score_Task_3,Score_Task_4,Score_Task_5,Score_Task_6,Score_Task_7,Score_Task_8,Score_Task_9,Score_Task_10,Score_Task_11,Score_Task_12,Score_Task_13,Score_Task_14,Score_Task_15,Score_Task_16,Score_Task_17,Score_Task_18,Score_Task_19,Score_Task_20,Score_Task_21,Score_Task_22,Score_Task_23,Score_Task_24,Score_Task_25,Score_Task_26,Score_Task_27,Score_Task_28,Score_Task_29,Score_Task_30,Score_Task_31,Score_Task_32,Score_Task_33,Score_Task_34
1,Frank Skinner,4,2,5,4,4,0.0,4,2,1,1,1,4,4,2,3,0,2,0.0,3,4,1,5,1,4,4,3,2,3,4,2,4,2,5,3
2,Josh Widdicombe,1,3,3,3,3,0.0,2,5,2,4,3,2,0,5,5,5,5,0.0,4,5,2,3,1,5,5,5,0,1,2,4,2,0,1,2
3,Roisin Conaty,2,1,1,2,1,0.0,3,4,4,5,5,1,2,1,4,0,1,0.0,2,3,2,1,1,1,1,2,0,5,5,1,5,0,1,1
4,Romesh Ranganathan,3,5,4,5,2,0.0,1,1,3,5,4,5,3,4,2,4,4,0.0,1,2,2,4,1,3,2,4,0,4,3,3,1,0,4,4
5,Tim Key,5,4,2,1,5,0.0,5,3,5,3,2,3,5,3,1,0,4,0.0,5,1,1,1,1,2,3,1,2,2,0,5,3,2,3,5
