series,episode,series_code,episode_code,episode_title,imdb_rating,episode_id,imdb_rating_relative
12,1,S12,E1,An Imbalance in the Poppability,8.1,12_1,0.5924627800537244
12,2,S12,E2,Oatmeal and Death,7.7,12_2,-0.80156729066092
12,3,S12,E3,The End of the Franchise,7.5,12_3,-1.4985823260182438
12,4,S12,E4,The Customised Inhaler,8.0,12_4,0.2439552623750641
12,5,S12,E5,Croissants Is Croissants,8.2,12_5,0.9409702977323848
12,6,S12,E6,A Chair in a Sweet,7.7,12_6,-0.80156729066092
12,7,S12,E7,The Integrity of the Product,7.9,12_7,-0.10455225530359626
12,8,S12,E8,A Couple of Ethels,7.8,12_8,-0.4530597729822597
12,9,S12,E9,Nothing Matters,7.9,12_9,-0.10455225530359626
12,10,S12,E10,Caring Uncle Minpict,8.5,12_10,1.9864928507683721
13,1,S13,E1,The Noise That Blue Makes,8.1,13_1,0.5872801368884091
13,2,S13,E2,Birdy Hand Finger,7.8,13_2,-0.7679817174694675
13,3,S13,E3,I Think I've Got This,7.8,13_3,-0.7679817174694675
13,4,S13,E4,Shoe Who,8.2,13_4,1.0390340883410332
13,5,S13,E5,Having a Little Chuckle,7.9,13_5,-0.31622776601683933
13,6,S13,E6,The 75th Question,8.1,13_6,0.5872801368884091
13,7,S13,E7,Heg,7.8,13_7,-0.7679817174694675
13,8,S13,E8,You Tuper Super,7.7,13_8,-1.2197356689220917
13,9,S13,E9,It Might Be Wind,7.9,13_9,-0.31622776601683933
13,10,S13,E10,The House Queens,8.4,13_10,1.9425419912462896
14,1,S14,E1,"The Chassis, the Wings",7.7,14_1,-1.3058572501980197
14,2,S14,E2,Enormous Hugeness,8.2,14_2,1.414678687714524
14,3,S14,E3,Dafty in the Middle,8.2,14_3,1.414678687714524
14,4,S14,E4,Crumbs in My Bralette,7.7,14_4,-1.3058572501980197
14,5,S14,E5,Chip Biffington,7.8,14_5,-0.7617500626155119
14,6,S14,E6,Long-Legged Lobster,7.9,14_6,-0.21764287503299926
14,7,S14,E7,The System of Endless Plates,8.0,14_7,0.32646431254950853
14,8,S14,E8,The One That Bats Do,7.9,14_8,-0.21764287503299926
14,9,S14,E9,A New Business End,7.9,14_9,-0.21764287503299926
14,10,S14,E10,Did I Meet These Potatoes Before?,8.1,14_10,0.8705715001320163
15,1,S15,E1,The Curse of Politeness,7.7,15_1,-0.3721042037676251
15,2,S15,E2,Trapped in a Loveless Marriage,7.7,15_2,-0.3721042037676251
15,3,S15,E3,I Love to Squander Promise,7.6,15_3,-1.302364713186692
15,4,S15,E4,How Heavy Is the Water?,7.9,15_4,1.4884168150705004
15,5,S15,E5,Old Honkfoot,7.7,15_5,-0.3721042037676251
15,6,S15,E6,It's My Milk Now,7.6,15_6,-1.302364713186692
15,7,S15,E7,Schrödinger's Egg,7.7,15_7,-0.3721042037676251
15,8,S15,E8,100% Bosco,7.8,15_8,0.5581563056514335
15,9,S15,E9,A Show About Pedantry,7.9,15_9,1.4884168150705004
15,10,S15,E10,A Yardstick for Failure,7.8,15_10,0.5581563056514335
16,1,S16,E1,The Natural Friends,8.0,16_1,1.2874602738859695
16,2,S16,E2,Hell Is Here,7.5,16_2,-0.7241964040608561
16,3,S16,E3,Languidly,7.5,16_3,-0.7241964040608561
16,4,S16,E4,Dynamite Chicks,7.6,16_4,-0.3218650684714924
16,5,S16,E5,Skateboard Division,7.5,16_5,-0.7241964040608561
16,6,S16,E6,Brother Alex,7.5,16_6,-0.7241964040608561
16,7,S16,E7,I'm Off to Find a Robin,7.5,16_7,-0.7241964040608561
16,8,S16,E8,Never Packed a Boot,8.0,16_8,1.2874602738859695
16,9,S16,E9,Fagin at the Disco,7.6,16_9,-0.3218650684714924
16,10,S16,E10,Always Forks and Marbles,8.1,16_10,1.6897916094753331
17,1,S17,E1,Grappling with My Life,7.5,17_1,-0.05784224154598132
17,2,S17,E2,Jumungo,7.4,17_2,-0.6362646570057534
17,3,S17,E3,Some Impropriety?,7.5,17_3,-0.05784224154598132
17,4,S17,E4,Apropos of Apoppo,7.4,17_4,-0.6362646570057534
17,5,S17,E5,Snooker Cue Umbrella Chin,7.3,17_5,-1.2146870724655308
17,6,S17,E6,A Three-Ring Man,7.7,17_6,1.099002589373568
17,7,S17,E7,Dream Date Territory,7.5,17_7,-0.05784224154598132
17,8,S17,E8,The Umbrella Wink,7.8,17_8,1.6774250048333401
17,9,S17,E9,Assistantbury,7.3,17_9,-1.2146870724655308
17,10,S17,E10,Ambience and Information,7.7,17_10,1.099002589373568
18,1,S18,E1,The Faceless Facilitators,7.0,18_1,-1.6853070166173671
18,2,S18,E2,...And Then a Detective Comes In,7.1,18_2,-1.3732131246511885
18,3,S18,E3,The Gangsters of the Sea,7.7,18_3,0.49935022714589056
18,4,S18,E4,I'm a Girl Who Likes a Clean Line,7.2,18_4,-1.0611192326850074
18,5,S18,E5,Big Stupid Things,7.9,18_5,1.1235380110782502
18,6,S18,E6,A Dance as Old as Time Itself,7.8,18_6,0.811444119112069
18,7,S18,E7,Captain Jackie and the Hotdog,7.7,18_7,0.49935022714589056
18,8,S18,E8,The Nexus of Truth,7.8,18_8,0.811444119112069
18,9,S18,E9,The Cockle Children,7.6,18_9,0.1872563351797093
18,10,S18,E10,Le Goose,7.6,18_10,0.1872563351797093
